iter	MultiClass
0	-1.082184324
1	-1.067861469
2	-1.054066212
3	-1.039453531
4	-1.030143432
5	-1.017446668
6	-1.005855444
7	-0.9947744415
8	-0.9836862777
9	-0.9734171487
10	-0.9622320822
11	-0.952049649
12	-0.9418023551
13	-0.9333472418
14	-0.922571073
15	-0.9154996501
16	-0.9090737589
17	-0.9017894441
18	-0.895025795
19	-0.8873140509
20	-0.8796854773
21	-0.872762441
22	-0.8665195014
23	-0.8610111559
24	-0.8549425041
25	-0.8489728839
26	-0.8427617072
27	-0.8378620328
28	-0.8324279511
29	-0.8277688065
30	-0.8228509905
31	-0.8171496521
32	-0.8128648651
33	-0.8090605515
34	-0.8054653165
35	-0.7998332093
36	-0.7954234779
37	-0.7910525917
38	-0.7879131317
39	-0.7828260431
40	-0.7794140068
41	-0.7763891526
42	-0.7728631775
43	-0.7693695188
44	-0.7655940663
45	-0.7626378125
46	-0.7601274881
47	-0.75656646
48	-0.754339539
49	-0.7501338097
50	-0.7472900016
51	-0.7441912252
52	-0.7421576977
53	-0.7389954104
54	-0.7357869869
55	-0.7331459353
56	-0.730844377
57	-0.7292259902
58	-0.7266490031
59	-0.7243710578
60	-0.7221909546
61	-0.7195456958
62	-0.716841213
63	-0.7141763856
64	-0.7120567045
65	-0.7100271529
66	-0.7070651709
67	-0.7043438138
68	-0.7032895347
69	-0.7014090554
70	-0.6999550372
71	-0.69625319
72	-0.6942457418
73	-0.6908457096
74	-0.6891250312
75	-0.6871539542
76	-0.6844982859
77	-0.6825974731
78	-0.6817623505
79	-0.6792475897
80	-0.6771810195
81	-0.6752370171
82	-0.6730770183
83	-0.6712409213
84	-0.6697058272
85	-0.6656716278
86	-0.665034101
87	-0.6624506593
88	-0.661554998
89	-0.66081434
90	-0.658712419
91	-0.6576677988
92	-0.6559835589
93	-0.6553902533
94	-0.6540922454
95	-0.652337807
96	-0.6516955641
97	-0.6491767182
98	-0.6487229617
99	-0.6461278276
100	-0.6451139954
101	-0.6436174505
102	-0.6425789632
103	-0.6421826275
104	-0.6415512486
105	-0.6400021536
106	-0.6385574351
107	-0.637803424
108	-0.6369715917
109	-0.6348537831
110	-0.6343503376
111	-0.6332122329
112	-0.6326880002
113	-0.6311231784
114	-0.6281395044
115	-0.6278559328
116	-0.6269889962
117	-0.6256409499
118	-0.6243784961
119	-0.6230793308
120	-0.6225043633
121	-0.6214096479
122	-0.6207642314
123	-0.6196188638
124	-0.617130181
125	-0.615856394
126	-0.6145349042
127	-0.6133644715
128	-0.6117821308
129	-0.6115175163
130	-0.6097524607
131	-0.6086594245
132	-0.6074294656
133	-0.6058589586
134	-0.6056887014
135	-0.605525753
136	-0.6044220413
137	-0.6024634785
138	-0.6011609916
139	-0.5989224628
140	-0.5981194887
141	-0.5979738862
142	-0.5969135904
143	-0.5961441905
144	-0.5949251173
145	-0.5936429457
146	-0.5928983656
147	-0.5922100817
148	-0.5909907782
149	-0.5900722974
150	-0.5893108026
151	-0.5886061757
152	-0.5881106272
153	-0.5873211071
154	-0.5868734886
155	-0.5865419697
156	-0.5849514681
157	-0.583635044
158	-0.5830596248
159	-0.5817612337
160	-0.5815980931
161	-0.5803493561
162	-0.5795268938
163	-0.5783749113
164	-0.5779307786
165	-0.5772673893
166	-0.5766196243
167	-0.5757598266
168	-0.5744573139
169	-0.5734206846
170	-0.5728198421
171	-0.5720912334
172	-0.5713134778
173	-0.5710205594
174	-0.5699762474
175	-0.5690752002
176	-0.5683658969
177	-0.5680318967
178	-0.5669292906
179	-0.5661855234
180	-0.564259638
181	-0.5631779409
182	-0.5620413794
183	-0.5617036341
184	-0.5602210747
185	-0.559578965
186	-0.5586912701
187	-0.557400984
188	-0.5561997093
189	-0.5548771893
190	-0.5536644676
191	-0.5519597305
192	-0.55050068
193	-0.5494854589
194	-0.5486473101
195	-0.5479460498
196	-0.5472691037
197	-0.5467294612
198	-0.5461566093
199	-0.5455491743
200	-0.5444803627
201	-0.5435667378
202	-0.5424599673
203	-0.5421894752
204	-0.5418113239
205	-0.5409316626
206	-0.540283426
207	-0.5391549218
208	-0.537707781
209	-0.5372300154
210	-0.5369586106
211	-0.5355913028
212	-0.53513342
213	-0.5342648838
214	-0.533169055
215	-0.5321950401
216	-0.5310772946
217	-0.5299575141
218	-0.5293176019
219	-0.5279192241
220	-0.5273113294
221	-0.5262680726
222	-0.5251854585
223	-0.5245699413
224	-0.5236501029
225	-0.522778596
226	-0.5216777169
227	-0.5206157095
228	-0.5193323986
229	-0.5179584025
230	-0.51758906
231	-0.5173942621
232	-0.5160893023
233	-0.5154299945
234	-0.5137473665
235	-0.513110905
236	-0.512360234
237	-0.5112996014
238	-0.5105954689
239	-0.5102553225
240	-0.5094561218
241	-0.5086131326
242	-0.5080996365
243	-0.5075267751
244	-0.5069940782
245	-0.5059809231
246	-0.5059128975
247	-0.5050804445
248	-0.504628976
249	-0.5042823999
250	-0.502831799
251	-0.5023435572
252	-0.5014819719
253	-0.5010247811
254	-0.5004104336
255	-0.4994796607
256	-0.4988099943
257	-0.4976384213
258	-0.4962415209
259	-0.4954512473
260	-0.4949165438
261	-0.494510647
262	-0.4941150497
263	-0.4928900133
264	-0.4923656277
265	-0.4911704783
266	-0.4903237553
267	-0.4898491273
268	-0.489443012
269	-0.4893272717
270	-0.4886954402
271	-0.4872366206
272	-0.4860506256
273	-0.485616013
274	-0.4849216403
275	-0.4843755707
276	-0.4840126559
277	-0.4836987045
278	-0.4825958114
279	-0.4819108948
280	-0.4808201106
281	-0.480462427
282	-0.480005998
283	-0.4794859874
284	-0.4787256441
285	-0.4779074647
286	-0.4764866874
287	-0.4758524476
288	-0.4755430128
289	-0.4746184122
290	-0.4734225674
291	-0.4725209132
292	-0.4721522927
293	-0.4712524151
294	-0.4707963039
295	-0.4700116467
296	-0.4696972723
297	-0.4681664965
298	-0.4669665161
299	-0.4657771906
300	-0.4655507593
301	-0.4647479872
302	-0.4640768239
303	-0.4632545795
304	-0.4628828784
305	-0.4625256296
306	-0.4612980036
307	-0.4611269348
308	-0.4600423444
309	-0.459785104
310	-0.4592408064
311	-0.4585845524
312	-0.4577472036
313	-0.4565111818
314	-0.4559560394
315	-0.4549059425
316	-0.4544963908
317	-0.4539307452
318	-0.4532152711
319	-0.4522377755
320	-0.4514477207
321	-0.4502142779
322	-0.4495747867
323	-0.4489842646
324	-0.4483387781
325	-0.4475179998
326	-0.4472669481
327	-0.4464346896
328	-0.4456997901
329	-0.4453485327
330	-0.4448507157
331	-0.4446218282
332	-0.4439420392
333	-0.4434340244
334	-0.4424192272
335	-0.4417590653
336	-0.441421633
337	-0.4403332665
338	-0.4393452699
339	-0.4388552115
340	-0.4382533738
341	-0.4380110551
342	-0.4376077405
343	-0.437223909
344	-0.4368330348
345	-0.4360014225
346	-0.4353444932
347	-0.4348176028
348	-0.4343833556
349	-0.4332466344
350	-0.432816659
351	-0.4322364972
352	-0.4317647273
353	-0.4312463183
354	-0.4307084443
355	-0.430404534
356	-0.4295926245
357	-0.4290649188
358	-0.4285016384
359	-0.4281224372
360	-0.4272484171
361	-0.4264381595
362	-0.4259983387
363	-0.4250419477
364	-0.4245299836
365	-0.4243401535
366	-0.4238205991
367	-0.4232622858
368	-0.4223881709
369	-0.4219588053
370	-0.4215270805
371	-0.4209356125
372	-0.4203268629
373	-0.4196472688
374	-0.4186421647
375	-0.4180629567
376	-0.4170643829
377	-0.4164222929
378	-0.4159094165
379	-0.415578278
380	-0.4151057983
381	-0.4146251904
382	-0.4139036214
383	-0.4133226063
384	-0.4127993957
385	-0.4123139668
386	-0.4115895416
387	-0.4113656701
388	-0.4108012096
389	-0.4103731828
390	-0.4099269258
391	-0.409263501
392	-0.4089129135
393	-0.4084459924
394	-0.4080945114
395	-0.407623487
396	-0.4071312811
397	-0.4066856754
398	-0.4060691452
399	-0.4058521859
400	-0.4049101869
401	-0.4046651458
402	-0.404047577
403	-0.4036660686
404	-0.4032667649
405	-0.4028500843
406	-0.402513803
407	-0.4019593679
408	-0.401736307
409	-0.4014752149
410	-0.4011170356
411	-0.4006954792
412	-0.4002703436
413	-0.3998167257
414	-0.3995038108
415	-0.3990015499
416	-0.3982568188
417	-0.3978946389
418	-0.3977266595
419	-0.3973394361
420	-0.3968285813
421	-0.3964257935
422	-0.3960627133
423	-0.3954902654
424	-0.395078927
425	-0.3946568662
426	-0.3943187459
427	-0.3937754518
428	-0.3933021923
429	-0.3931677936
430	-0.3926687066
431	-0.3920493972
432	-0.3917122072
433	-0.3909482593
434	-0.3904752501
435	-0.3899783957
436	-0.3891888338
437	-0.3888208818
438	-0.3883107397
439	-0.3879877423
440	-0.3876287206
441	-0.3872579872
442	-0.3868407429
443	-0.3862524867
444	-0.3859480219
445	-0.3853659245
446	-0.3849123084
447	-0.3846473995
448	-0.3843333048
449	-0.3839999978
450	-0.3834573869
451	-0.3826547843
452	-0.3822792249
453	-0.3821656388
454	-0.3818601854
455	-0.3814239007
456	-0.3812372447
457	-0.380886508
458	-0.3807068593
459	-0.3802676279
460	-0.3800723824
461	-0.3794998412
462	-0.3790732654
463	-0.378427555
464	-0.378082662
465	-0.3778415013
466	-0.377511226
467	-0.3773262786
468	-0.3771372954
469	-0.3770153437
470	-0.3766109424
471	-0.3760849561
