iter	MultiClass
472	-0.3759128296
473	-0.3758236428
474	-0.3755157878
475	-0.3749095063
476	-0.3746188355
477	-0.3744642952
478	-0.374374044
479	-0.3738504963
480	-0.3734164966
481	-0.3731243569
482	-0.3729779012
483	-0.3727077197
484	-0.372428788
485	-0.3719433015
486	-0.3713089682
487	-0.3711346752
488	-0.3705224557
489	-0.3703100442
490	-0.369897844
491	-0.3697682
492	-0.3690575726
493	-0.3687189774
494	-0.3683110285
495	-0.3679067937
496	-0.3676390942
497	-0.3674036476
498	-0.3669951267
499	-0.3667408505
500	-0.3661668631
501	-0.3656304579
502	-0.3652899043
503	-0.3645128885
504	-0.36409332
505	-0.3634450027
506	-0.3632829663
507	-0.3629134603
508	-0.3625069419
509	-0.3622732222
510	-0.3615577853
511	-0.3611252047
512	-0.3605731549
513	-0.360195684
514	-0.3599854827
515	-0.3596458551
516	-0.359102608
517	-0.3586883953
518	-0.3582796501
519	-0.3575760732
520	-0.357176499
521	-0.3568692513
522	-0.3563263898
523	-0.355988239
524	-0.3558054717
525	-0.355440515
526	-0.3549211344
527	-0.3546335479
528	-0.3542096037
529	-0.3537991741
530	-0.3534885423
531	-0.3530763231
532	-0.3526078451
533	-0.35214642
534	-0.3518761753
535	-0.3513344373
536	-0.3509977196
537	-0.3507528483
538	-0.3504056645
539	-0.3500147287
540	-0.3495084709
541	-0.3492192925
542	-0.3490934757
543	-0.3489680151
544	-0.348470034
545	-0.3475471285
546	-0.3470093808
547	-0.3468264689
548	-0.3465762827
549	-0.3463999743
550	-0.3460000944
551	-0.3457442697
552	-0.3452616714
553	-0.3448608615
554	-0.3445319883
555	-0.3443561733
556	-0.3438731983
557	-0.3436193882
558	-0.3434069719
559	-0.3429077154
560	-0.3425484683
561	-0.3420670919
562	-0.3417230062
563	-0.3414253264
564	-0.3413265255
565	-0.3407479861
566	-0.3403580339
567	-0.3401684999
568	-0.340027766
569	-0.3398576498
570	-0.3392827384
571	-0.3389860682
572	-0.3384217447
573	-0.3380131163
574	-0.3375619097
575	-0.3373569782
576	-0.3371731365
577	-0.3370390588
578	-0.3367794423
579	-0.3366476839
580	-0.336400017
581	-0.336081785
582	-0.3357879819
583	-0.3356684492
584	-0.3351559612
585	-0.3349630127
586	-0.3347985552
587	-0.3345616713
588	-0.3342016248
589	-0.3336804927
590	-0.3335517267
591	-0.332999009
592	-0.3328893355
593	-0.3327744015
594	-0.3326393928
595	-0.3325428321
596	-0.3322910867
597	-0.331857357
598	-0.3314711294
599	-0.3310878549
600	-0.3308010511
601	-0.3304404142
602	-0.3303131059
603	-0.3301438537
604	-0.3297422343
605	-0.3294427333
606	-0.3291151287
607	-0.3289654647
608	-0.3287658123
609	-0.3283072056
610	-0.328187172
611	-0.3279341174
612	-0.3273193189
613	-0.3270211336
614	-0.3267767154
615	-0.3264724789
616	-0.3263681175
617	-0.3260582264
618	-0.3258983625
619	-0.3255860688
620	-0.325259952
621	-0.3247089836
622	-0.3243143331
623	-0.3241593346
624	-0.3239818166
625	-0.3236297979
626	-0.3232335404
627	-0.3230841849
628	-0.3226400398
629	-0.3224407404
630	-0.3221805599
631	-0.3220133565
632	-0.3216159602
633	-0.3211960668
634	-0.3211102534
635	-0.3207061564
636	-0.3202952585
637	-0.3201615782
638	-0.3198949734
639	-0.3197656443
640	-0.3195642847
641	-0.3194033269
642	-0.3192325952
643	-0.3187959169
644	-0.3186348581
645	-0.3182881588
646	-0.318041463
647	-0.3175827715
648	-0.3173769292
649	-0.317242392
650	-0.3169953954
651	-0.3167281919
652	-0.3164550494
653	-0.3161627092
654	-0.3158607416
655	-0.3156189262
656	-0.3152335055
657	-0.3148551139
658	-0.3146264835
659	-0.314246608
660	-0.3136419642
661	-0.3132563377
662	-0.3129733855
663	-0.3128039717
664	-0.312614263
665	-0.3124141038
666	-0.3122802537
667	-0.3121045038
668	-0.3116145698
669	-0.3110478677
670	-0.3107639003
671	-0.3105349131
672	-0.3101427015
673	-0.3098646044
674	-0.3097261412
675	-0.3094315945
676	-0.3093687502
677	-0.3091059039
678	-0.3088321228
679	-0.3085966979
680	-0.3083306285
681	-0.3081782855
682	-0.3079926448
683	-0.3074446577
684	-0.3072779017
685	-0.307041344
686	-0.3069828996
687	-0.3066216549
688	-0.3062342642
689	-0.3056941103
690	-0.3053477391
691	-0.3049498542
692	-0.3047142538
693	-0.3044309153
694	-0.3042223763
695	-0.3040261163
696	-0.3037565942
697	-0.3032127226
698	-0.3030579852
699	-0.3026361893
700	-0.3023335019
701	-0.3020871998
702	-0.3019221198
703	-0.3017031125
704	-0.3014638026
705	-0.3010205086
706	-0.300700395
707	-0.3005803563
708	-0.3004248174
709	-0.300252166
710	-0.3000664125
711	-0.2998557434
712	-0.2996193197
713	-0.2993619947
714	-0.2992087149
715	-0.2989095705
716	-0.2987891839
717	-0.2985548231
718	-0.298328573
719	-0.2979812282
720	-0.2978354268
721	-0.2976749349
722	-0.2972944773
723	-0.2970445337
724	-0.296835457
725	-0.2967442884
726	-0.2965793301
727	-0.2963430238
728	-0.2961882594
729	-0.2958986703
730	-0.2956468983
731	-0.2955349855
732	-0.2954692219
733	-0.295240038
734	-0.2948321054
735	-0.2945981807
736	-0.2943740129
737	-0.2938559731
738	-0.2936419692
739	-0.2932650234
740	-0.2928808486
741	-0.2925221018
742	-0.2924338491
743	-0.2922960667
744	-0.2919677052
745	-0.2916437427
746	-0.2912549402
747	-0.2910673566
748	-0.2909810608
749	-0.2908532308
750	-0.2906318597
751	-0.2901084621
752	-0.2898901146
753	-0.2895657096
754	-0.2889979642
755	-0.2887688201
756	-0.2885647337
757	-0.2884033287
758	-0.2878350942
759	-0.2874128922
760	-0.2871625916
761	-0.2869691336
762	-0.2867304449
763	-0.2865493533
764	-0.2863174446
765	-0.2861370495
766	-0.2858029249
767	-0.285716974
768	-0.2854157541
769	-0.28508826
770	-0.2849079122
771	-0.2846894507
772	-0.2842451891
773	-0.2838997106
774	-0.2837319435
775	-0.283364833
776	-0.283069675
777	-0.2829197997
778	-0.2825214259
779	-0.2823130196
780	-0.2822672856
781	-0.2820218373
782	-0.2817846686
783	-0.2815135267
784	-0.2813083164
785	-0.2810727977
786	-0.2808393888
787	-0.2805496001
788	-0.2803329502
789	-0.2800202149
790	-0.2797638128
791	-0.2795190972
792	-0.2790807086
793	-0.278964545
794	-0.2787187902
795	-0.278529544
796	-0.2782397313
797	-0.2780041427
798	-0.277772382
799	-0.2773977838
800	-0.2771688477
801	-0.2769891857
802	-0.2766572778
803	-0.2764031635
804	-0.2761326416
805	-0.2759449675
806	-0.275752814
807	-0.2754486068
808	-0.2751268478
809	-0.2750181201
810	-0.2747884034
811	-0.2745899539
812	-0.2744230398
813	-0.274150014
814	-0.2739180164
815	-0.2738074426
816	-0.273482361
817	-0.2729720125
818	-0.2728281675
819	-0.2725018739
820	-0.2722968409
821	-0.2721963883
822	-0.2720327672
823	-0.2717964151
824	-0.2713591731
825	-0.2711869301
826	-0.270999918
827	-0.2708148252
828	-0.2706467781
829	-0.2702095707
830	-0.2700241223
831	-0.2697442155
832	-0.2696193942
833	-0.2694215711
834	-0.2693672209
835	-0.2692664896
836	-0.2690062243
837	-0.2688436561
838	-0.2686998314
839	-0.2684221219
840	-0.26830816
841	-0.2682177575
842	-0.2680555516
843	-0.2678379473
844	-0.2677564427
845	-0.2674481492
846	-0.2673540555
847	-0.2670522809
848	-0.2669826246
849	-0.2668339583
850	-0.266603169
851	-0.2662956179
852	-0.2661556464
853	-0.2659512562
854	-0.2656085892
855	-0.265385686
856	-0.2651635086
857	-0.2649344023
858	-0.264710467
859	-0.2644552295
860	-0.2642578757
861	-0.2637807611
862	-0.2637314965
863	-0.2634484246
864	-0.2632140158
865	-0.2629411144
866	-0.2627438399
867	-0.2626449501
868	-0.2625803955
869	-0.2624841527
870	-0.2624245946
871	-0.2622713216
872	-0.2620632208
873	-0.2617880436
874	-0.2614753606
875	-0.2612708936
876	-0.260933029
877	-0.2607108291
878	-0.260490431
879	-0.2603642049
880	-0.260212468
881	-0.2599634745
882	-0.259716651
883	-0.2596216295
884	-0.2594941839
885	-0.2591977852
886	-0.2590878841
887	-0.2589432174
888	-0.2587529009
889	-0.2586337622
890	-0.2585942212
891	-0.2584248406
892	-0.2581254571
893	-0.2579277104
894	-0.257714839
895	-0.2575667399
896	-0.2573946458
897	-0.2567419904
898	-0.2565403547
899	-0.2563611848
900	-0.2561378575
901	-0.2559609433
902	-0.2558370396
903	-0.2556535685
904	-0.2551515928
905	-0.2549146391
906	-0.2547309609
907	-0.2545059577
908	-0.2543317196
909	-0.2542221177
910	-0.2539819682
911	-0.2537118387
912	-0.2534923992
913	-0.2533458441
914	-0.2530020923
915	-0.2523781202
916	-0.2523103492
917	-0.2521674133
918	-0.2520227348
919	-0.2517551179
920	-0.2516117709
921	-0.2514813184
922	-0.2512957001
923	-0.2512194453
924	-0.2509636906
925	-0.2507450528
926	-0.2504491144
927	-0.2502774876
928	-0.2499828224
929	-0.2498991784
930	-0.2496691904
931	-0.2494720429
932	-0.2493455883
933	-0.2491429638
934	-0.2487107681
935	-0.2485927117
936	-0.2484663841
937	-0.2483253231
938	-0.248191005
939	-0.2480857346
940	-0.2477578212
941	-0.247551814
942	-0.2472034404
943	-0.2470426737
944	-0.2468232609
945	-0.2465772484
946	-0.2463488471
947	-0.2462731682
948	-0.2458873554
949	-0.2455849437
950	-0.2452593549
951	-0.2451457459
952	-0.2449668585
953	-0.244705106
954	-0.2442615384
955	-0.2439309797
956	-0.2437489767
957	-0.2435850419
958	-0.2434756469
959	-0.2434121576
960	-0.2431214537
961	-0.2429332156
962	-0.2427751738
963	-0.2424599017
964	-0.2420443315
965	-0.2418237127
966	-0.2416381814
967	-0.2414828237
968	-0.2413450057
969	-0.2411019099
970	-0.2408646868
971	-0.2406705167
972	-0.2404213581
973	-0.240237879
974	-0.2401772736
975	-0.2396141381
976	-0.2394440062
977	-0.2393784167
978	-0.2392552173
979	-0.2390613231
980	-0.2389035737
981	-0.2387544139
982	-0.2385998388
983	-0.238467369
984	-0.2382397138
985	-0.2379789777
986	-0.2377689052
987	-0.2377524468
988	-0.237532619
989	-0.2372541016
990	-0.2369960954
991	-0.2369412668
992	-0.2367842629
993	-0.2366761134
994	-0.2365686224
995	-0.2364262782
996	-0.2361006432
997	-0.2358241692
998	-0.2355933195
999	-0.2354304705
