iter	Passed	Remaining
407	5855	8496
408	5870	8482
409	5884	8467
410	5899	8454
411	5912	8438
412	5924	8420
413	5939	8406
414	5953	8392
415	5967	8377
416	5982	8364
417	5996	8349
418	6011	8336
419	6026	8322
420	6041	8309
421	6056	8295
422	6071	8281
423	6085	8267
424	6099	8252
425	6114	8238
426	6129	8224
427	6142	8209
428	6163	8204
429	6178	8190
430	6193	8176
431	6208	8163
432	6223	8149
433	6238	8135
434	6253	8122
435	6264	8103
436	6278	8089
437	6293	8075
438	6308	8061
439	6328	8053
440	6342	8040
441	6357	8026
442	6372	8012
443	6387	7998
444	6401	7983
445	6414	7967
446	6429	7953
447	6444	7940
448	6459	7926
449	6474	7912
450	6487	7897
451	6501	7882
452	6516	7868
453	6531	7855
454	6546	7841
455	6562	7828
456	6576	7814
457	6591	7800
458	6606	7787
459	6621	7773
460	6636	7759
461	6651	7745
462	6665	7730
463	6680	7717
464	6695	7703
465	6710	7689
466	6724	7674
467	6739	7661
468	6755	7648
469	6769	7633
470	6784	7620
471	6798	7605
472	6813	7591
473	6828	7577
474	6843	7563
475	6857	7549
476	6872	7535
477	6886	7520
478	6901	7506
479	6915	7491
480	6929	7477
481	6944	7463
482	6959	7449
483	6973	7435
484	6988	7421
485	7002	7405
486	7015	7390
487	7030	7376
488	7045	7362
489	7060	7348
490	7075	7334
491	7090	7320
492	7104	7306
493	7118	7291
494	7134	7278
495	7149	7265
496	7165	7251
497	7179	7237
498	7194	7223
499	7209	7209
500	7224	7195
501	7239	7181
502	7252	7166
503	7267	7151
504	7282	7138
505	7297	7124
506	7312	7110
507	7326	7096
508	7341	7081
509	7356	7067
510	7371	7054
511	7387	7040
512	7402	7027
513	7417	7013
514	7431	6998
515	7445	6984
516	7459	6968
517	7473	6954
518	7488	6940
519	7502	6924
520	7515	6909
521	7530	6895
522	7544	6880
523	7559	6866
524	7573	6852
525	7588	6838
526	7602	6823
527	7617	6809
528	7633	6796
529	7647	6781
530	7662	6767
531	7677	6754
532	7692	6740
533	7707	6726
534	7722	6711
535	7737	6697
536	7754	6685
537	7771	6673
538	7787	6660
539	7802	6646
540	7816	6631
541	7831	6617
542	7845	6603
543	7860	6589
544	7875	6575
545	7890	6561
546	7905	6546
547	7919	6532
548	7934	6517
549	7949	6504
550	7964	6489
551	7979	6476
552	7993	6460
553	8008	6446
554	8022	6432
555	8037	6418
556	8052	6404
557	8067	6390
558	8082	6376
559	8089	6356
560	8104	6341
561	8119	6327
562	8133	6313
563	8148	6299
564	8163	6285
565	8177	6270
566	8191	6255
567	8206	6241
568	8221	6227
569	8240	6216
570	8256	6202
571	8270	6188
572	8285	6174
573	8300	6160
574	8315	6145
575	8330	6132
576	8345	6117
577	8352	6098
578	8368	6084
579	8382	6070
580	8396	6055
581	8410	6040
582	8427	6027
583	8442	6013
584	8457	5999
585	8475	5987
586	8490	5973
587	8506	5960
588	8520	5945
589	8537	5932
590	8553	5919
591	8569	5905
592	8580	5889
593	8595	5875
594	8611	5861
595	8627	5847
596	8643	5834
597	8658	5820
598	8672	5806
599	8686	5790
600	8698	5774
601	8713	5760
602	8729	5747
603	8744	5733
604	8760	5719
605	8775	5705
606	8791	5692
607	8805	5677
608	8821	5663
609	8835	5648
610	8849	5634
611	8865	5620
612	8880	5606
613	8895	5592
614	8910	5578
615	8926	5564
616	8941	5550
617	8947	5530
618	8964	5517
619	8979	5503
620	8995	5489
621	9010	5475
622	9025	5461
623	9041	5448
624	9057	5434
625	9072	5420
626	9087	5405
627	9102	5392
628	9118	5378
629	9133	5364
630	9155	5354
631	9170	5339
632	9185	5325
633	9200	5311
634	9212	5295
635	9227	5281
636	9240	5265
637	9255	5251
638	9271	5237
639	9284	5222
640	9298	5207
641	9314	5193
642	9328	5179
643	9344	5165
644	9359	5151
645	9373	5136
646	9388	5122
647	9404	5108
648	9420	5094
649	9435	5080
650	9448	5065
651	9463	5051
652	9478	5037
653	9491	5021
654	9506	5007
655	9521	4992
656	9535	4978
657	9550	4964
658	9565	4949
659	9580	4935
660	9595	4921
661	9611	4907
662	9626	4893
663	9641	4878
664	9656	4864
665	9671	4850
666	9684	4835
667	9700	4821
668	9715	4806
669	9729	4791
670	9744	4777
671	9758	4763
672	9774	4749
673	9790	4735
674	9805	4721
675	9819	4706
676	9832	4691
677	9846	4676
678	9855	4659
679	9869	4644
680	9885	4630
681	9900	4616
682	9915	4602
683	9930	4587
684	9945	4573
685	9961	4559
686	9976	4545
687	9991	4530
688	10006	4516
689	10021	4502
690	10035	4487
691	10053	4474
692	10070	4461
693	10089	4448
694	10105	4434
695	10120	4420
696	10135	4406
697	10150	4391
698	10168	4378
699	10178	4362
700	10192	4347
701	10208	4333
702	10224	4319
703	10239	4305
704	10255	4291
705	10268	4276
706	10283	4261
707	10297	4247
708	10313	4232
709	10329	4219
710	10344	4204
711	10358	4190
712	10374	4175
713	10389	4161
714	10404	4147
715	10417	4132
716	10433	4118
717	10449	4104
718	10464	4089
719	10479	4075
720	10486	4057
721	10501	4043
722	10512	4027
723	10531	4014
724	10547	4000
725	10562	3986
726	10577	3971
727	10593	3957
728	10607	3943
729	10622	3928
730	10640	3915
731	10655	3901
732	10671	3887
733	10686	3872
734	10702	3858
735	10718	3844
736	10734	3830
737	10750	3816
738	10767	3802
739	10781	3788
740	10795	3773
741	10808	3758
742	10822	3743
743	10836	3728
744	10851	3714
745	10868	3700
746	10883	3686
747	10900	3672
748	10916	3658
749	10931	3643
750	10946	3629
751	10961	3615
752	10977	3600
753	10993	3586
754	11008	3572
755	11023	3557
756	11039	3543
757	11055	3529
758	11067	3514
759	11082	3499
760	11095	3484
761	11111	3470
762	11127	3456
763	11143	3442
764	11151	3425
765	11166	3411
766	11180	3396
767	11195	3381
768	11210	3367
769	11225	3353
770	11240	3338
771	11255	3324
772	11269	3309
773	11283	3294
774	11297	3279
775	11312	3265
776	11327	3251
777	11343	3236
778	11357	3222
779	11373	3207
780	11388	3193
781	11403	3178
782	11417	3164
783	11432	3149
784	11448	3135
785	11462	3120
786	11476	3106
787	11490	3091
788	11505	3076
789	11520	3062
790	11536	3048
791	11551	3033
792	11564	3018
793	11579	3004
794	11594	2989
795	11609	2975
796	11624	2960
797	11639	2946
798	11656	2932
799	11671	2917
800	11687	2903
801	11702	2889
802	11717	2874
803	11732	2860
804	11747	2845
805	11762	2831
806	11778	2816
807	11793	2802
808	11809	2788
809	11819	2772
810	11835	2758
811	11850	2743
812	11866	2729
813	11882	2715
814	11898	2700
815	11912	2686
816	11928	2671
817	11942	2657
818	11958	2642
819	11972	2628
820	11988	2613
821	12002	2599
822	12016	2584
823	12032	2570
824	12046	2555
825	12062	2540
826	12076	2526
827	12091	2511
828	12110	2497
829	12127	2483
830	12142	2469
831	12151	2453
832	12166	2439
833	12181	2424
834	12195	2409
835	12210	2395
